Date,Ticker,Sector,Action,Weight_%,Mom_12_1_%,Price
2014-07,MU,IT,BUY,2.03,129.94,32.15
2014-07,DVN,EN,BUY,4.51,55.33,53.21
2014-07,COP,EN,BUY,4.13,47.48,58.52
2014-07,SRE,UT,BUY,5.86,31.83,36.24
2014-07,EA,COM,BUY,1.97,56.02,34.84
2014-07,UNP,IND,BUY,6.69,31.28,76.5
2014-07,CAT,IND,BUY,6.83,35.25,80.67
2014-07,QCOM,IT,BUY,8.51,32.29,56.62
2014-07,MAR,CD,BUY,5.73,61.09,57.12
2014-07,EOG,EN,BUY,3.26,78.33,84.41
2014-07,HAL,EN,BUY,3.34,72.1,56.71
2014-07,SLB,EN,BUY,3.39,67.27,85.06
2014-08,INTC,IT,BUY,2.96,50.69,25.66
2014-08,SPY,OTHER,BUY,7.06,16.7,158.29
2014-08,SPG,RE,BUY,4.71,15.2,95.26
2014-08,LRCX,IT,BUY,3.27,42.61,5.96
2014-08,MSFT,IT,BUY,5.7,39.55,36.25
2014-08,AAPL,IT,BUY,3.22,51.46,20.98
2014-08,LMT,IND,BUY,6.55,43.99,121.51
2014-08,HCA,HC,BUY,3.24,67.46,60.62
2014-08,AMT,RE,BUY,5.36,35.39,71.91
2014-08,DVN,EN,SELL,0.0,39.19,50.75
2014-08,COP,EN,SELL,0.0,32.39,56.32
2014-08,SRE,UT,SELL,0.0,16.96,34.72
2014-08,EA,COM,SELL,0.0,28.64,32.64
2014-08,CAT,IND,SELL,0.0,24.76,74.79
2014-08,QCOM,IT,SELL,0.0,16.49,52.98
2014-08,EOG,EN,SELL,0.0,51.16,79.05
2014-08,HAL,EN,SELL,0.0,54.27,55.23
2014-08,SLB,EN,SELL,0.0,35.38,78.46
2014-08,UNP,IND,TRIM,5.81,26.43,75.73
2014-09,AVGO,IT,BUY,2.3,117.24,6.16
2014-09,LMT,IND,SELL,0.0,47.23,126.63
2014-09,SPG,RE,ADD,7.92,28.0,96.3
2014-10,MO,CS,BUY,3.85,40.69,22.11
2014-10,LMT,IND,BUY,6.45,48.17,134.03
2014-10,SPY,OTHER,SELL,0.0,19.57,161.51
2014-10,AMT,RE,SELL,0.0,28.25,71.33
2014-11,SPY,OTHER,BUY,6.89,16.95,166.09
2014-11,ABBV,HC,BUY,2.96,35.42,39.92
2014-11,AMGN,HC,BUY,2.58,42.39,116.84
2014-11,AMT,RE,BUY,4.63,24.77,74.56
2014-11,LLY,HC,BUY,4.89,37.9,53.93
2014-11,MU,IT,SELL,0.0,87.16,32.29
2014-11,INTC,IT,SELL,0.0,43.79,25.92
2014-11,AVGO,IT,SELL,0.0,93.05,6.49
2014-11,MO,CS,SELL,0.0,36.35,23.55
2014-11,HCA,HC,SELL,0.0,48.6,65.02
2014-11,SPG,RE,TRIM,4.87,27.17,102.3
2014-11,LMT,IND,TRIM,5.62,47.78,139.74
2014-12,SRE,UT,BUY,6.16,29.74,39.16
2014-12,TTWO,COM,BUY,2.81,69.07,27.66
2014-12,VRTX,HC,BUY,1.46,69.81,117.88
2014-12,LLY,HC,SELL,0.0,40.5,55.39
2014-12,SPY,OTHER,SELL,0.0,16.7,170.65
2014-12,AAPL,IT,SELL,0.0,53.09,26.23
2014-12,SPG,RE,ADD,5.87,32.32,103.2
2014-12,LRCX,IT,ADD,4.21,59.43,7.05
2014-12,MSFT,IT,ADD,6.63,28.98,40.41
2015-01,AVGO,IT,BUY,2.71,93.42,7.57
2015-01,SHW,MAT,BUY,4.83,44.85,78.93
2015-01,EA,COM,BUY,1.85,104.97,45.67
2015-01,LLY,HC,BUY,5.35,39.75,56.5
2015-01,MS,FIN,BUY,4.18,25.08,28.62
2015-01,WELL,RE,BUY,3.42,48.54,49.14
2015-01,SRE,UT,SELL,0.0,27.41,39.03
2015-01,LRCX,IT,SELL,0.0,46.48,6.77
2015-01,ABBV,HC,SELL,0.0,27.92,41.47
2015-01,VRTX,HC,SELL,0.0,59.89,118.8
2015-01,AMGN,HC,SELL,0.0,42.33,115.2
2015-01,AMT,RE,SELL,0.0,25.75,75.59
2015-01,LMT,IND,ADD,6.52,33.76,142.34
2015-02,ELV,HC,BUY,4.88,59.46,114.83
2015-02,MO,CS,BUY,4.89,57.98,26.14
2015-02,AAPL,IT,BUY,3.71,67.28,25.95
2015-02,WM,IND,BUY,7.46,27.26,41.29
2015-02,MAR,CD,SELL,0.0,52.96,66.75
2015-02,MS,FIN,SELL,0.0,15.82,24.94
2015-02,MSFT,IT,SELL,0.0,9.69,34.36
2015-02,LMT,IND,SELL,0.0,28.89,139.23
2015-03,CME,FIN,BUY,4.05,36.1,61.46
2015-03,MAR,CD,BUY,4.06,55.1,74.46
2015-03,SBUX,CD,BUY,4.61,33.73,37.25
2015-03,LMT,IND,BUY,6.4,27.28,147.87
2015-03,LLY,HC,SELL,0.0,21.61,57.47
2015-03,WELL,RE,SELL,0.0,38.04,50.07
2015-03,SPG,RE,SELL,0.0,29.33,109.45
2015-03,TTWO,COM,SELL,0.0,33.99,26.49
2015-03,SHW,MAT,ADD,6.06,43.75,85.58
2015-04,CI,HC,BUY,2.61,54.67,117.59
2015-04,HON,IND,BUY,6.78,14.72,74.6
2015-04,COST,CS,BUY,6.08,41.71,126.28
2015-04,LLY,HC,BUY,6.6,27.27,59.93
2015-04,UNH,HC,BUY,3.25,46.64,98.39
2015-04,MO,CS,SELL,0.0,40.03,24.62
2015-04,CME,FIN,SELL,0.0,34.01,60.68
2015-04,UNP,IND,SELL,0.0,17.5,84.56
2015-04,AAPL,IT,SELL,0.0,65.36,27.67
2015-04,MAR,CD,SELL,0.0,45.02,72.14
2015-04,AVGO,IT,TRIM,1.88,100.25,9.59
2015-04,WM,IND,TRIM,6.0,33.26,43.54
2015-05,VMC,MAT,BUY,2.88,33.05,78.09
2015-05,DIS,COM,BUY,4.18,38.77,99.0
2015-05,ABT,HC,BUY,6.94,22.47,37.66
2015-05,INTU,IT,BUY,3.8,33.88,91.82
2015-05,WFC,FIN,BUY,6.09,14.07,40.52
2015-05,EQIX,RE,BUY,3.46,42.64,198.0
2015-05,AVGO,IT,SELL,0.0,86.71,8.85
2015-05,LMT,IND,SELL,0.0,17.28,138.94
2015-05,HON,IND,SELL,0.0,10.83,72.17
2015-05,COST,CS,SELL,0.0,29.18,119.24
2015-05,WM,IND,SELL,0.0,14.95,40.05
2015-05,UNH,HC,SELL,0.0,50.85,92.97
2015-05,SBUX,CD,ADD,5.42,42.51,39.65
2015-06,AVGO,IT,BUY,1.87,112.54,11.22
2015-06,NFLX,COM,BUY,1.3,49.36,8.92
2015-06,PFE,HC,BUY,6.1,21.47,20.57
2015-06,UNH,HC,BUY,4.62,53.4,100.33
2015-06,WFC,FIN,SELL,0.0,13.25,41.15
2015-06,INTU,IT,SELL,0.0,32.78,95.56
2015-06,EQIX,RE,SELL,0.0,41.18,207.4
2015-06,VMC,MAT,SELL,0.0,48.08,82.11
2015-06,CI,HC,ADD,3.36,56.91,127.97
2015-06,EA,COM,ADD,2.72,78.65,60.96
2015-07,BMY,HC,BUY,4.54,40.85,46.45
2015-07,HCA,HC,BUY,2.96,60.91,84.2
2015-07,WFC,FIN,BUY,6.39,9.92,41.64
2015-07,AVGO,IT,SELL,0.0,87.1,10.07
2015-07,PFE,HC,SELL,0.0,16.93,20.01
2015-07,SHW,MAT,SELL,0.0,34.2,82.91
2015-07,CI,HC,TRIM,2.6,76.2,147.21
2015-07,ELV,HC,TRIM,3.96,54.91,140.26
2015-07,LLY,HC,TRIM,5.03,38.28,69.35
2015-08,NKE,CD,BUY,3.54,51.11,50.12
2015-08,META,COM,BUY,3.75,29.4,93.28
2015-08,AMZN,CD,BUY,1.82,71.3,26.81
2015-08,PFE,HC,BUY,4.79,30.05,21.52
2015-08,ORLY,CD,BUY,3.09,60.21,16.02
2015-08,CI,HC,SELL,0.0,60.05,130.91
2015-08,ELV,HC,SELL,0.0,42.64,132.33
2015-08,BMY,HC,SELL,0.0,33.15,45.82
2015-08,HCA,HC,SELL,0.0,42.41,86.33
2015-08,UNH,HC,SELL,0.0,52.13,101.75
2015-09,GIS,CS,BUY,5.54,9.73,39.07
2015-09,TJX,CD,BUY,4.2,19.35,30.29
2015-09,AZO,CD,BUY,3.77,32.88,715.99
2015-09,VMC,MAT,BUY,2.76,48.33,85.58
2015-09,DIS,COM,SELL,0.0,15.46,93.31
2015-09,ABT,HC,SELL,0.0,9.44,37.11
2015-09,PFE,HC,SELL,0.0,12.48,19.23
2015-09,AMZN,CD,SELL,0.0,51.28,25.64
2015-09,SBUX,CD,TRIM,4.17,42.65,43.9
2015-09,WFC,FIN,TRIM,4.85,6.5,39.48
2015-10,AMZN,CD,BUY,1.7,58.76,25.59
